idx,text,startSec,endSec
117,importante,28.37,29.1
118,es,29.1,29.24
119,que,29.24,29.46
120,S,29.46,29.53
121,illa,29.53,29.82
122,no,29.82,29.96
123,pers,29.96,30.25
124,igue,30.25,30.63
125,a,30.63,30.77
126,los,30.77,30.88
127,bar,30.88,31.12
128,cos,31.12,31.26
129,en,31.26,31.38
130,mar,31.38,31.55
131,ab,31.55,31.68
132,ierto,31.68,32.0
133,Se,32.3,32.38
134,mant,32.38,32.56
135,iene,32.56,32.81
136,cerca,32.81,33.12
137,del,33.12,33.3
138,ac,33.3,33.48
139,ant,33.48,33.62
140,il,33.62,33.74
141,ado,33.74,33.94
142,Eso,34.12,34.33
143,significa,34.33,35.0
144,que,35.0,35.07
145,la,35.07,35.19
146,estr,35.19,35.44
147,ateg,35.44,35.69
148,ia,35.69,35.97
149,más,35.97,36.1
150,seg,36.1,36.34
151,ura,36.34,36.46
152,no,36.46,36.58
153,es,36.58,36.7
154,l,36.7,36.76
155,uchar,36.76,37.06
156,contra,37.06,37.52
157,ella,37.52,37.69
158,sino,37.81,38.06
159,seguir,38.06,38.43
160,mov,38.43,38.61
161,i,38.61,38.7
162,énd,38.7,38.91
163,ose,38.91,39.09
164,antes,39.09,39.4
165,de,39.4,39.55
166,que,39.55,39.7
167,pueda,39.7,40.01
168,atac,40.01,40.26
169,ar,40.26,40.41
170,de,40.41,40.5
171,nuevo,40.5,40.81
172,es,41.74,41.98
173,advert,41.98,42.14
174,ido,42.14,42.36
175,sobre,42.36,42.73
176,esto,42.73,43.17
177,antes,43.17,43.42
178,de,43.42,43.66
179,llegar,43.66,44.02
180,al,44.02,44.16
181,p,44.16,44.24
182,so,44.24,44.39
183,e,44.39,44.46
184,A,44.68,44.75
185,ún,44.75,44.97
186,así,44.97,45.27
187,prepar,45.42,45.87
188,a,45.87,45.94
189,sus,45.94,46.16
190,armas,46.16,46.55
191,pero,46.83,47.15
192,result,47.15,47.68
193,an,47.68,47.86
194,in,47.86,48.1
195,út,48.1,48.21
196,iles,48.21,48.48
197,S,48.7,48.77
198,illa,48.77,49.05
199,se,49.05,49.29
200,lleva,49.29,49.54
201,a,49.54,49.61
202,6,49.61,49.82
203,de,49.82,49.96
204,sus,49.96,50.17
205,hombres,50.17,50.67
206,mientras,50.67,51.24
207,el,51.24,51.38
208,bar,51.38,51.59
209,co,51.59,51.73
210,contin,51.73,52.17
211,úa,52.17,52.37
212,su,52.37,52.51
213,march,52.51,52.86
214,a,52.86,52.95
215,Det,53.14,53.35
216,ener,53.35,53.62
217,se,53.62,54.09
218,solo,54.09,54.17
219,le,54.17,54.28
220,dar,54.47,54.52
221,ía,54.52,54.68
222,otra,54.68,54.94
223,oportunidad,54.94,55.78
224,S,55.91,55.98
225,illa,55.98,56.25
226,también,56.25,56.8
227,comp,56.8,57.07
228,arte,57.07,57.34
229,el,57.34,57.48
230,paso,57.48,57.75
231,con,57.75,57.95
232,Carib,57.95,58.4
233,dis,58.4,58.49
234,un,58.62,58.76
235,rem,58.76,58.96
236,ol,58.96,59.09
237,ino,59.09,59.29
238,gig,59.29,59.49
239,ante,59.49,59.93
240,en,59.93,60.28
241,lado,60.28,60.46
242,op,60.46,60.7
243,uesto,60.7,60.91
244,por,61.03,61.25
245,lo,61.25,61.35
246,que,61.35,61.54
247,la,61.54,61.88
248,trip,61.88,61.94
249,ul,61.94,62.05
250,ación,62.05,62.43
251,no,62.43,62.56
252,puede,62.56,62.89
253,simplemente,62.89,63.59
254,ale,63.59,63.78
255,jar,63.78,63.97
256,se,63.97,64.09
257,más,64.09,64.35
258,N,64.62,64.77
259,ave,64.77,65.16
260,gar,65.16,65.57
261,cerca,65.57,66.2
262,de,66.2,66.56
263,S,66.56,66.8
264,illa,66.8,66.92
265,cu,66.92,67.06
266,esta,67.06,67.34
267,6,67.34,67.57
268,mar,67.57,67.98
269,iner,67.98,68.09
270,os,68.09,68.22
271,N,68.48,68.5
272,ave,68.5,68.71
273,gar,68.71,68.99
274,cerca,68.99,69.28
275,de,69.28,69.42
276,Carib,69.42,69.78
277,dis,69.78,70.01
278,puede,70.01,70.35
279,destru,70.35,70.78
280,ir,70.78,70.92
281,el,70.92,71.06
282,bar,71.06,71.28
283,co,71.28,71.42
284,ent,71.42,71.65
285,ero,71.65,71.85
286,A,72.06,72.27
287,Od,72.27,72.56
288,ise,72.56,72.61
289,o,72.61,72.79
290,se,72.79,72.87
291,le,72.87,72.96
292,dice,72.96,73.22
293,que,73.22,73.4
294,el,73.4,73.53
295,ija,73.53,73.76
296,S,73.76,73.84
297,illa,73.84,74.38
298,porque,74.38,74.49
299,perder,74.49,74.88
300,a,74.88,74.91
301,6,74.91,75.1
302,personas,75.1,75.61
303,es,75.61,75.74
304,mejor,75.74,76.06
305,que,76.06,76.25
306,perder,76.25,76.63
307,lo,76.63,76.75
308,todo,76.75,77.08
309,Trad,77.19,77.44
310,iciones,77.44,77.9
311,poster,77.9,78.27
312,i,78.27,78.33
313,ores,78.33,78.74
314,situ,78.95,79.04
315,aron,79.04,79.34
316,el,79.34,79.48
317,paso,79.48,79.79
318,en,79.79,79.94
319,el,79.94,80.17
320,estre,80.17,80.47
321,cho,80.47,80.69
322,de,80.69,80.84
323,Mes,80.84,81.07
324,ina,81.07,81.34
325,entre,81.44,81.82
326,Sic,81.82,82.05
327,ilia,82.05,82.35
328,e,82.35,82.42
329,Italia,82.42,82.96
330,pen,82.96,83.18
331,ins,83.18,83.4
332,ular,83.4,83.69
333,La,83.92,84.15
334,frase,84.15,84.82
335,entre,84.82,85.16
336,S,85.16,85.22
337,illa,85.22,85.48
338,y,85.48,85.55
339,Carib,85.55,85.88
340,dis,85.88,86.16
341,se,86.16,86.32
342,conv,86.32,86.49
343,irt,86.49,86.74
344,ió,86.74,86.89
345,en,86.89,87.02
346,una,87.02,87.25
347,forma,87.25,87.56
348,de,87.56,87.69
349,descri,87.69,88.1
350,bir,88.1,88.3
351,el,88.3,88.43
352,estar,88.43,88.77
353,at,88.77,88.94
354,rap,88.94,89.13
355,ado,89.13,89.3
356,entre,89.3,89.76
357,dos,89.76,90.08
358,op,90.08,90.18
359,ciones,90.18,90.5
360,pelig,90.5,90.78
361,ros,90.78,90.95
362,as,90.95,91.05
