seg_next_display,fa_word,fa_onset,chosen_silence_end,true_silence_end,onset_error_sec,status
46,bound,139.134,139.057625,139.057625,0.07637499999998454,ok
47,held,140.351,140.342813,140.342813,0.008186999999992395,ok
48,The,143.251,143.263937,143.263937,-0.012936999999993759,ok
49,using,146.682,,143.263937,,harness_never_scored_this_boundary
50,The,149.803,149.81775,149.81775,-0.01474999999999227,ok
51,You,151.452,151.459563,151.459563,-0.007563000000004649,ok
52,Behind,154.991,155.018125,155.018125,-0.027124999999983856,ok
53,They,162.452,162.473187,162.473187,-0.021186999999997624,ok
54,Their,164.682,164.69425,164.69425,-0.012250000000022965,ok
55,same,166.271,166.21975,166.21975,0.05124999999998181,ok
56,You,168.322,168.314938,168.314938,0.007061999999990576,ok
57,You,172.191,172.190188,172.190188,0.0008119999999962602,ok
58,Nobody,180.395,180.37725,180.37725,0.017750000000006594,ok
59,But,182.252,182.281,182.281,-0.028999999999996362,ok
60,moves,184.22,184.169062,184.169062,0.05093800000000215,ok
61,Not,188.83,188.419438,188.419438,0.41056199999999876,ok
62,Not,189.572,189.573563,189.573563,-0.001563000000004422,ok
63,Just,190.922,190.925438,190.925438,-0.0034380000000169275,ok
64,He,192.733,192.72575,192.72575,0.0072499999999990905,ok
65,Then,197.251,197.230437,197.230437,0.02056300000000988,ok
66,The,200.843,200.871625,200.871625,-0.02862500000000523,ok
67,your,202.532,202.523687,202.523687,0.008313000000015336,ok
68,You,205.114,205.079937,205.079937,0.034063000000003285,ok
69,You,207.293,207.011562,207.011562,0.2814380000000085,ok
70,You,210.032,209.694187,209.694187,0.33781300000001124,ok
71,Those,212.141,212.17275,212.17275,-0.0317500000000166,ok
72,An,216.574,216.557437,216.557437,0.0165630000000192,ok
73,Every,218.252,218.241813,218.241813,0.010187000000001944,ok
74,Wind,221.112,221.08075,221.08075,0.03125,ok
75,Something,223.742,223.688875,223.688875,0.053124999999994316,ok
76,You,228.581,228.578937,228.578937,0.0020629999999925985,ok
77,When,232.191,231.795125,231.795125,0.39587499999998954,ok
78,every,234.48,233.908437,233.908437,0.5715629999999976,ok
79,No,236.571,236.563063,236.563063,0.007936999999998307,ok
80,No,237.925,238.401625,236.563063,-0.4766249999999843,stale_pause_selection_bug
81,The,238.585,,238.401625,,harness_never_scored_this_boundary
82,You,242.922,242.926125,242.926125,-0.0041250000000161435,ok
83,You,245.793,245.81525,245.81525,-0.022249999999985448,ok
84,Your,247.681,247.695188,247.695188,-0.014187999999990097,ok
85,You,253.975,253.973688,253.973688,0.0013119999999844367,ok
86,Not,257.143,256.854688,256.854688,0.28831199999996215,ok
87,A,260.242,260.228063,260.228063,0.013936999999998534,ok
88,its,261.651,261.633813,261.633813,0.01718700000003537,ok
89,They,268.993,268.777562,268.777562,0.215438000000006,ok
90,Never,271.473,271.414188,271.414188,0.058811999999988984,ok
91,Never,273.043,273.014687,273.014687,0.028313000000025568,ok
92,You,274.637,274.622937,274.622937,0.014063000000021475,ok
93,"twenty-two,",275.951,275.967688,275.967688,-0.016687999999987824,ok
94,The,278.881,278.894437,278.894437,-0.013437000000010357,ok
95,Your,283.982,284.001438,284.001438,-0.019437999999979638,ok
96,You,287.861,287.8705,287.8705,-0.009500000000002728,ok
97,A,289.986,289.976375,289.976375,0.009624999999971351,ok
98,Something,293.671,293.6395,293.6395,0.03149999999999409,ok
99,You,299.092,299.090937,299.090937,0.0010629999999878237,ok
100,Korik,302.552,302.557875,302.557875,-0.005875000000003183,ok
101,He,305.125,305.1175,305.1175,0.007499999999993179,ok
102,The,307.024,307.0345,307.0345,-0.010499999999979082,ok
103,long,309.781,309.732125,309.732125,0.04887500000000955,ok
104,You,313.803,313.81575,313.81575,-0.01274999999998272,ok
105,"Slow,",317.303,317.212625,317.212625,0.09037499999999454,ok
106,You,322.523,322.544688,322.544688,-0.021687999999983276,ok
107,But,325.812,325.826188,325.826188,-0.014187999999990097,ok
108,two,328.842,328.657,328.657,0.18500000000000227,ok
109,The,331.062,331.072125,331.072125,-0.010125000000016371,ok
110,You,334.542,334.561312,334.561312,-0.01931200000001354,ok
111,You,336.612,336.621688,336.621688,-0.009687999999982821,ok
112,That,338.804,338.759813,338.759813,0.04418699999996534,ok
113,Not,340.904,340.876438,340.876438,0.027561999999988984,ok
114,Not,342.011,342.038,342.038,-0.026999999999986812,ok
115,"See,",344.425,344.342938,344.342938,0.08206200000000763,ok
116,A,346.901,346.874437,346.874437,0.026563000000010106,ok
117,A,350.041,349.713313,349.713313,0.327686999999969,ok
118,What,353.936,353.968437,353.968437,-0.032437000000015814,ok
119,You,358.455,357.948688,357.948688,0.5063119999999799,ok
120,Your,360.472,360.479312,360.479312,-0.007312000000013086,ok
121,but,362.453,362.479375,362.479375,-0.026375000000030013,ok
122,Daret,364.654,364.580688,364.580688,0.07331199999998717,ok
123,You,367.174,367.1815,367.1815,-0.007500000000050022,ok
124,You,368.771,368.791938,368.791938,-0.02093800000000101,ok
125,You,373.985,373.957812,373.957812,0.02718800000002375,ok
126,The,379.507,379.53025,379.53025,-0.023250000000018645,ok
127,facing,380.761,380.8005,380.8005,-0.039499999999975444,ok
128,You,384.0,384.010312,384.010312,-0.010311999999998989,ok
129,The,389.912,389.930187,389.930187,-0.01818700000001172,ok
130,The,394.594,394.2195,394.2195,0.3745000000000118,ok
131,It,395.904,396.587375,394.2195,-0.6833750000000123,stale_pause_selection_bug
132,You,398.685,398.700562,398.700562,-0.01556199999998853,ok
133,wake,399.957,,398.700562,,harness_never_scored_this_boundary
134,sleep.,401.212,,398.700562,,harness_never_scored_this_boundary
135,Three,402.021,401.976625,401.976625,0.044375000000002274,ok
136,This,405.377,405.347,405.347,0.03000000000002956,ok
137,no,406.813,406.817187,406.817187,-0.004187000000001717,ok
138,On,408.131,408.113938,408.113938,0.01706199999995306,ok
139,nobody,412.792,412.7365,412.7365,0.055499999999995,ok
140,The,416.711,416.729312,416.729312,-0.018311999999980344,ok
141,Night,421.864,421.841063,421.841063,0.022936999999956242,ok
142,It,423.574,423.562563,423.562563,0.011437000000000808,ok
143,almost,425.553,425.517938,425.517938,0.03506199999998216,ok
144,Wind.,427.751,428.304563,425.517938,-0.5535629999999969,stale_pause_selection_bug
145,Small,428.322,,428.304563,,harness_never_scored_this_boundary
146,The,429.482,429.4225,429.4225,0.0595000000000141,ok
147,Branches,432.96,432.987625,432.987625,-0.027625000000000455,ok
148,Sleeping,435.733,435.669125,435.669125,0.06387499999999591,ok
149,You,437.541,437.544375,437.544375,-0.003375000000005457,ok
150,You,445.905,445.858313,445.858313,0.046686999999963064,ok
151,You,448.341,448.342562,448.342562,-0.001561999999978525,ok
152,When,451.674,451.7055,451.7055,-0.03149999999999409,ok
153,something,454.592,454.536938,454.536938,0.05506199999996397,ok
154,When,456.245,455.845687,455.845687,0.39931300000000647,ok
155,something,458.0,,455.845687,,harness_never_scored_this_boundary
156,These,460.554,460.523,460.523,0.03099999999994907,ok
157,You,463.551,463.567938,463.567938,-0.016938000000038755,ok
158,The,466.671,466.69425,466.69425,-0.023250000000018645,ok
159,The,471.261,470.936438,470.936438,0.32456200000001445,ok
160,Nobody,474.771,474.710188,474.710188,0.060811999999998534,ok
161,But,477.446,477.468313,477.468313,-0.02231299999999692,ok
162,the,479.482,479.497,479.497,-0.014999999999986358,ok
163,and,481.742,481.723875,481.723875,0.018124999999997726,ok
164,The,484.832,484.848063,484.848063,-0.016063000000031025,ok
165,You,487.241,487.244188,487.244188,-0.0031880000000228392,ok
166,The,491.393,491.399438,491.399438,-0.00643800000000283,ok
167,drawn,495.072,495.020125,495.020125,0.05187499999999545,ok
168,Daret,498.512,498.523813,498.523813,-0.011813000000017837,ok
169,He,503.994,503.586625,503.586625,0.4073750000000018,ok
170,He,506.534,506.511063,506.511063,0.022937000000013086,ok
171,and,508.272,508.254875,508.254875,0.01712499999996453,ok
172,The,511.172,511.15925,511.15925,0.012750000000039563,ok
173,When,513.762,513.767938,513.767938,-0.005938000000014654,ok
174,that,517.043,517.021562,517.021562,0.021437999999989188,ok
175,Stop,519.102,519.0765,519.0765,0.02549999999996544,ok
176,You,526.385,526.349875,526.349875,0.035124999999993634,ok
177,Fear,528.672,528.584062,528.584062,0.08793800000000829,ok
178,It,531.701,531.689125,531.689125,0.011875000000031832,ok
179,present,533.571,533.603375,533.603375,-0.03237500000000182,ok
180,The,536.041,536.054313,536.054313,-0.013312999999925523,ok
181,Your,539.391,538.922625,538.922625,0.4683749999999236,ok
182,and,543.101,543.0955,543.0955,0.005499999999983629,ok
183,Two,548.215,548.216937,548.216937,-0.0019369999999980791,ok
184,You,550.432,550.36575,550.36575,0.06624999999996817,ok
185,The,552.423,552.43075,552.43075,-0.007749999999987267,ok
186,thirty,553.334,553.352938,553.352938,-0.018938000000048305,ok
187,the,555.833,555.854688,555.854688,-0.02168800000004012,ok
188,The,559.585,559.612375,559.612375,-0.027375000000006366,ok
189,You,561.695,561.692875,561.692875,0.002125000000091859,ok
190,Yaro,567.393,567.387062,567.387062,0.005938000000014654,ok
191,You,569.797,569.7975,569.7975,-0.0004999999999881766,ok
192,You,571.352,571.36775,571.36775,-0.015750000000025466,ok
193,What,572.601,572.623625,572.623625,-0.02262499999994816,ok
194,A,577.812,577.804813,577.804813,0.007187000000044463,ok
195,You,580.382,580.382375,580.382375,-0.00037500000007639755,ok
196,You,582.585,582.556438,582.556438,0.028562000000079024,ok
197,Yaro,584.001,583.97725,583.97725,0.023749999999949978,ok
198,The,586.493,586.51275,586.51275,-0.01974999999993088,ok
199,Three,588.144,588.186125,588.186125,-0.04212499999994179,ok
200,Then,590.185,590.13975,590.13975,0.04524999999989632,ok
201,one,592.26,,590.13975,,harness_never_scored_this_boundary
202,and,593.612,593.613812,593.613812,-0.0018120000000863001,ok
203,You,596.411,595.9015,595.9015,0.509499999999889,ok
204,You,603.604,603.596375,603.596375,0.007625000000075488,ok
205,not,606.423,606.422,606.422,0.0009999999999763531,ok
206,just,607.882,607.889188,607.889188,-0.007188000000041939,ok
207,You,609.091,609.089125,609.089125,0.0018750000000409273,ok
208,The,611.641,611.667188,611.667188,-0.026188000000047396,ok
209,The,614.472,614.500063,614.500063,-0.028062999999974636,ok
210,Whatever,616.301,616.337125,616.337125,-0.03612499999996999,ok
211,That,619.711,619.7295,619.7295,-0.01850000000001728,ok
212,Something,623.981,623.927812,623.927812,0.053187999999977364,ok
213,You,627.151,627.192063,627.192063,-0.04106300000000829,ok
214,You,630.661,630.322813,630.322813,0.33818699999994806,ok
215,That,634.911,634.943625,634.943625,-0.03262500000005275,ok
216,It,638.982,638.96425,638.96425,0.017749999999978172,ok
217,You,641.612,641.6225,641.6225,-0.010499999999979082,ok
218,Not,643.302,643.318813,643.318813,-0.016812999999956446,ok
219,You,646.903,646.905875,646.905875,-0.0028750000000172804,ok
220,There,650.961,650.993938,650.993938,-0.03293799999994462,ok
221,and,654.731,654.716625,654.716625,0.014374999999972715,ok
222,You,659.832,659.829687,659.829687,0.002312999999958265,ok
223,You,665.034,665.0145,665.0145,0.019499999999993634,ok
224,You,666.765,666.396187,666.396187,0.3688129999999319,ok
225,You,669.442,669.416187,669.416187,0.025812999999970998,ok
226,Four,671.451,671.395375,671.395375,0.05562500000007731,ok
227,ranging,672.895,,671.395375,,harness_never_scored_this_boundary
228,They,676.012,675.578875,675.578875,0.4331249999999045,ok
229,There,678.901,678.906625,678.906625,-0.005625000000009095,ok
230,But,681.493,681.484938,681.484938,0.00806199999999535,ok
231,they,683.143,683.059813,683.059813,0.08318700000006629,ok
232,When,684.431,684.43625,684.43625,-0.005249999999932697,ok
233,When,687.062,686.716312,686.716312,0.34568799999999555,ok
234,their,689.672,689.637812,689.637812,0.03418799999997191,ok
235,You,693.516,693.528563,693.528563,-0.012563000000000102,ok
236,You,695.132,695.13375,695.13375,-0.0017500000000154614,ok
237,The,697.512,697.542188,697.542188,-0.030188000000066495,ok
238,That,701.573,701.5925,701.5925,-0.019499999999993634,ok
239,This,703.812,703.829,703.829,-0.016999999999939064,ok
240,It,705.662,705.660125,705.660125,0.0018750000000409273,ok
241,Your,707.855,707.841063,707.841063,0.013937000000055377,ok
242,He,710.452,710.435938,710.435938,0.01606200000003355,ok
243,Too,714.753,714.770875,714.770875,-0.017875000000003638,ok
244,You,716.571,,714.770875,,harness_never_scored_this_boundary
245,You,720.334,720.327625,720.327625,0.006374999999934516,ok
246,Then,722.251,721.92575,721.92575,0.3252499999999827,ok
247,slow,725.181,725.1305,725.1305,0.05050000000005639,ok
248,Slow,728.232,728.169313,728.169313,0.06268699999998262,ok
249,Fast,731.764,731.679438,731.679438,0.08456200000000536,ok
250,Before,734.841,734.868375,734.868375,-0.027375000000006366,ok
251,slow,736.151,736.055,736.055,0.09600000000000364,ok
252,On,738.484,738.45675,738.45675,0.0272499999999809,ok
253,Not,740.345,740.37575,740.37575,-0.030750000000011823,ok
254,But,741.842,741.866562,741.866562,-0.024562000000059925,ok
255,You,743.731,743.74975,743.74975,-0.018749999999954525,ok
256,You,747.983,748.007563,748.007563,-0.0245630000000574,ok
257,that,751.482,751.001125,751.001125,0.4808749999999691,ok
258,The,755.681,755.7035,755.7035,-0.022499999999922693,ok
259,They,759.77,759.758438,759.758438,0.011562000000026273,ok
260,You,766.464,766.1275,766.1275,0.3365000000000009,ok
261,You,769.023,769.037438,769.037438,-0.014437999999927342,ok
262,Some,771.041,771.01375,771.01375,0.027250000000094587,ok
263,Every,779.984,779.971375,779.971375,0.01262500000007094,ok
264,The,781.371,781.202937,781.202937,0.168062999999961,ok
265,without,785.961,785.982438,785.982438,-0.021437999999989188,ok
266,You,792.421,792.389875,792.389875,0.03112500000008822,ok
267,There,794.891,794.92275,794.92275,-0.03174999999998818,ok
268,That,803.901,803.570625,803.570625,0.33037500000000364,ok
269,puts,808.69,808.711063,808.711063,-0.02106299999991279,ok
270,and,810.657,,808.711063,,harness_never_scored_this_boundary
271,You,812.89,,808.711063,,harness_never_scored_this_boundary
272,Your,818.442,818.427312,818.427312,0.014687999999978274,ok
273,Long,820.611,,818.427312,,harness_never_scored_this_boundary
274,The,822.902,822.923313,822.923313,-0.021312999999963722,ok
275,Your,826.542,826.53525,826.53525,0.006750000000010914,ok
276,You,830.932,830.93125,830.93125,0.0007500000000391083,ok
277,But,833.562,833.599625,833.599625,-0.037624999999934516,ok
278,There,838.403,838.425438,838.425438,-0.02243799999996554,ok
279,There,840.321,840.342375,840.342375,-0.021374999999920874,ok
280,You,842.532,842.528063,842.528063,0.003937000000064472,ok
281,You,843.863,843.494688,843.494688,0.3683120000000599,ok
282,twenty-five,844.97,844.97175,844.97175,-0.0017500000000154614,ok
283,that,848.501,848.520313,848.520313,-0.019313000000011016,ok
284,He,852.324,852.309562,852.309562,0.014437999999927342,ok
285,You,854.703,854.691937,854.691937,0.011062999999921885,ok
286,It,856.883,856.868625,856.868625,0.014375000000086402,ok
287,and,859.441,859.442813,859.442813,-0.0018129999999700885,ok
288,not,864.662,864.671063,864.671063,-0.009062999999969179,ok
289,A,865.53,,864.671063,,harness_never_scored_this_boundary
290,The,873.344,873.364563,873.364563,-0.020562999999924614,ok
291,You,875.743,875.699813,875.699813,0.04318700000010267,ok
292,The,878.022,878.027563,878.027563,-0.005562999999938256,ok
293,You,881.402,881.174625,881.174625,0.22737500000005184,ok
294,You,883.593,883.567188,883.567188,0.025811999999973523,ok
295,The,886.473,886.500563,886.500563,-0.027563000000100146,ok
296,The,888.123,888.568188,887.674875,-0.44518799999991643,stale_pause_selection_bug
297,The,890.453,890.472688,890.472688,-0.019687999999973727,ok
298,None,893.193,893.170687,893.170687,0.022312999999940075,ok
299,What,895.476,895.479812,895.479812,-0.0038120000000390064,ok
300,"eventually,",896.771,896.743125,896.743125,0.027874999999994543,ok
301,Accepting,905.811,905.2805,905.2805,0.5305000000000746,ok
302,Harder,911.801,911.770188,911.770188,0.030812000000082662,ok
303,You,914.634,915.044125,911.770188,-0.41012499999999363,stale_pause_selection_bug
304,You,916.51,916.219313,916.219313,0.2906869999999344,ok
305,You,919.584,919.566688,919.566688,0.017311999999947147,ok
306,You,921.641,921.645313,921.645313,-0.004313000000024658,ok
307,You,929.335,927.196375,927.196375,2.1386250000000473,ok
308,Three,932.061,932.095125,932.095125,-0.03412500000001728,ok
309,When,936.411,936.448813,936.448813,-0.037813000000028296,ok
310,those,940.352,940.362375,940.362375,-0.010375000000067303,ok
311,sit,942.186,,940.362375,,harness_never_scored_this_boundary
312,Fen,951.624,951.65475,951.65475,-0.030750000000011823,ok
313,He,954.843,954.8295,954.8295,0.013499999999908141,ok
314,He,957.441,957.44975,957.44975,-0.00874999999996362,ok
315,You,962.013,962.013563,962.013563,-0.0005629999999428037,ok
316,One,964.792,964.721813,964.721813,0.07018700000003264,ok
317,which,967.448,967.474625,967.474625,-0.026624999999967258,ok
318,The,969.641,969.666125,969.666125,-0.02512500000000273,ok
319,Fear,972.332,972.2355,972.2355,0.09649999999999181,ok
320,,,,,,no_fa_data
321,That,975.89,975.663,975.663,0.22699999999997544,ok
322,It,987.141,987.130562,987.130562,0.010437999999908243,ok
323,You,989.271,989.272938,989.272938,-0.0019379999999955544,ok
324,You,993.281,993.283125,993.283125,-0.002125000000091859,ok
325,The,995.694,995.714875,995.714875,-0.020875000000046384,ok
326,She,998.531,998.516687,998.516687,0.014312999999901876,ok
327,You,1005.821,1005.816563,1005.816563,0.004437000000052649,ok
328,At,1012.372,1012.354688,1012.354688,0.017311999999947147,ok
329,You,1015.026,1014.969187,1014.969187,0.056812999999920066,ok
330,The,1016.304,1016.323562,1016.323562,-0.019562000000064472,ok
331,A,1018.201,1018.192188,1018.192188,0.008812000000034459,ok
332,A,1021.152,1021.1505,1021.1505,0.0015000000000782165,ok
333,You,1025.373,1025.364625,1025.364625,0.008375000000114596,ok
334,That,1026.843,1026.86875,1026.86875,-0.02575000000001637,ok
335,That,1029.122,1029.042125,1029.042125,0.07987500000012915,ok
336,You,1032.073,1032.062688,1032.062688,0.010312000000112675,ok
337,You,1035.591,1035.566812,1035.566812,0.024187999999867316,ok
338,You,1039.885,1039.83275,1039.83275,0.05224999999995816,ok
339,The,1042.038,1042.0525,1042.0525,-0.014499999999998181,ok
340,You,1050.223,1050.188625,1050.188625,0.034374999999954525,ok
341,Your,1052.073,1052.097875,1052.097875,-0.02487499999983811,ok
342,Your,1054.732,1054.748188,1054.748188,-0.01618800000005649,ok
343,the,1056.761,,1054.748188,,harness_never_scored_this_boundary
344,They,1061.301,1061.332187,1061.332187,-0.031187000000045373,ok
345,The,1064.632,1064.641188,1064.641188,-0.009187999999994645,ok
346,The,1068.831,1068.848688,1068.848688,-0.017688000000134707,ok
347,The,1073.582,1073.608563,1073.608563,-0.02656299999989642,ok
348,Other,1078.202,1078.19625,1078.19625,0.005750000000034561,ok
349,Not,1080.153,1080.1265,1080.1265,0.026499999999941792,ok
350,The,1083.512,1083.53975,1083.53975,-0.027749999999969077,ok
351,or,1086.063,1085.72125,1085.72125,0.3417500000000473,ok
352,A,1089.123,1089.116937,1089.116937,0.00606300000004012,ok
353,When,1092.315,1092.343375,1092.343375,-0.028374999999869033,ok
354,to,1095.495,1095.506188,1095.506188,-0.011188000000174725,ok
355,to,1096.931,1096.736688,1096.736688,0.19431200000008175,ok
356,people,1101.401,1101.425062,1101.425062,-0.02406199999995806,ok
357,Not,1103.932,1103.938437,1103.938437,-0.006437000000005355,ok
358,Because,1107.04,1107.058625,1107.058625,-0.01862499999992906,ok
359,Young,1113.647,,1112.52525,,harness_never_scored_this_boundary
360,You,1117.442,1117.45075,1117.45075,-0.00874999999996362,ok
361,The,1118.852,1118.866313,1118.866313,-0.014312999999901876,ok
362,Proof,1121.692,1121.705563,1121.705563,-0.013562999999976455,ok
363,An,1124.931,1124.913063,1124.913063,0.017937000000074477,ok
364,You,1131.224,1131.227,1131.227,-0.003000000000156433,ok
365,same,1133.063,,1131.227,,harness_never_scored_this_boundary
366,You,1134.701,1134.703188,1134.703188,-0.0021879999999327993,ok
367,You,1137.812,1137.825562,1137.825562,-0.013562000000092667,ok
368,the,1139.941,1139.964688,1139.964688,-0.023687999999992826,ok
369,the,1141.831,1141.85475,1141.85475,-0.023750000000063665,ok
370,You,1144.682,1144.702875,1144.702875,-0.020874999999932697,ok
371,Most,1151.703,1151.6295,1151.6295,0.07349999999996726,ok
372,Fear,1154.073,1154.113938,1154.113938,-0.040937999999869135,ok
373,Slow,1156.545,1156.463625,1156.463625,0.08137499999997999,ok
374,The,1158.352,1158.379563,1158.379563,-0.027562999999872773,ok
375,They,1159.981,,1158.379563,,harness_never_scored_this_boundary
376,They,1162.892,1162.908625,1162.908625,-0.016624999999976353,ok
377,You,1165.582,1165.556938,1165.556938,0.025062000000161788,ok
378,sitting,1168.253,1168.1665,1168.1665,0.08649999999988722,ok
379,being,1171.031,1171.066687,1171.066687,-0.03568700000005265,ok
380,The,1175.431,1175.446625,1175.446625,-0.015625,ok
381,It,1180.822,1180.23,1180.23,0.5919999999998709,ok
382,All,1183.191,1183.152875,1183.152875,0.03812500000003638,ok
383,You,1192.522,1191.070125,1191.070125,1.4518749999999727,ok
384,The,1194.153,1194.168125,1194.168125,-0.015124999999898137,ok
385,Your,1196.61,,1194.168125,,harness_never_scored_this_boundary
386,You,1203.062,1203.050375,1203.050375,0.011624999999867214,ok
387,Three,1206.171,1206.210125,1206.210125,-0.03912500000001273,ok
388,who,1211.761,1211.788438,1211.788438,-0.02743800000007468,ok
389,What,1215.372,1215.400063,1215.400063,-0.028062999999974636,ok
390,You,1219.312,1218.954,1218.954,0.35799999999994725,ok
391,Children,1226.513,1226.504125,1226.504125,0.008874999999989086,ok
392,Young,1229.012,1229.01925,1229.01925,-0.007250000000112777,ok
393,You,1235.811,1235.8215,1235.8215,-0.010500000000092768,ok
394,You,1238.484,1238.482937,1238.482937,0.0010629999999309803,ok
395,You,1240.983,1240.983313,1240.983313,-0.00031300000000555883,ok
396,You,1245.762,1245.791563,1245.791563,-0.029563000000052853,ok
397,You,1251.662,1251.319187,1251.319187,0.3428129999999783,ok
398,and,1256.262,1255.855625,1255.855625,0.40637500000002547,ok
399,You,1259.6,1259.615563,1259.615563,-0.015563000000156535,ok
400,You,1267.352,1267.045687,1267.045687,0.3063130000000456,ok
401,It,1269.923,1269.9195,1269.9195,0.003500000000030923,ok
402,the,1271.642,1271.666875,1271.666875,-0.02487499999983811,ok
403,and,1273.921,1273.921938,1273.921938,-0.0009379999999055144,ok
404,You,1280.221,1280.214125,1280.214125,0.00687500000003638,ok
405,You,1285.471,1285.450625,1285.450625,0.020375000000058208,ok
406,can,1289.76,,1285.450625,,harness_never_scored_this_boundary
407,You,1294.632,1294.648062,1294.648062,-0.016061999999919863,ok
408,You,1296.62,1296.638563,1296.638563,-0.018563000000085594,ok
409,The,1301.252,1301.277063,1301.277063,-0.025063000000045577,ok
410,It,1304.363,1304.3575,1304.3575,0.005499999999983629,ok
411,the,1306.07,,1304.3575,,harness_never_scored_this_boundary
412,Fen’s,1312.849,1312.873375,1312.873375,-0.02437499999996362,ok
413,a,1314.464,1314.465438,1314.465438,-0.0014380000000073778,ok
414,sits,1315.891,1315.818375,1315.818375,0.07262500000001637,ok
415,watching,1318.953,1318.94175,1318.94175,0.01125000000001819,ok
416,Back,1320.854,1320.885063,1320.885063,-0.031062999999903695,ok
417,Weight,1323.593,1323.554562,1323.554562,0.03843800000004194,ok
418,Eyes,1325.221,1324.699188,1324.699188,0.5218119999999544,ok
419,One,1329.752,1329.661938,1329.661938,0.09006199999998898,ok
420,You,1332.261,1331.9475,1331.9475,0.31349999999997635,ok
421,She,1335.933,1335.883313,1335.883313,0.049686999999948966,ok
422,She,1338.071,1338.040125,1338.040125,0.030874999999923602,ok
423,She,1340.741,1340.462313,1340.462313,0.2786869999999908,ok
424,repeated,1351.381,1351.393812,1351.393812,-0.012811999999939871,ok
425,She,1355.905,1355.86675,1355.86675,0.038250000000061846,ok
426,That,1358.261,1358.246562,1358.246562,0.014437999999927342,ok
427,The,1361.053,1361.065063,1361.065063,-0.012062999999898238,ok
428,through,1364.372,1364.323813,1364.323813,0.048187000000098124,ok
429,night,1365.34,,1364.323813,,harness_never_scored_this_boundary
430,along,1366.831,1366.815562,1366.815562,0.015437999999903695,ok
431,Somewhere,1371.522,1371.508188,1371.508188,0.013811999999916225,ok
432,There,1375.552,1375.585625,1375.585625,-0.033625000000029104,ok
433,The,1377.621,1377.638625,1377.638625,-0.017624999999952706,ok
434,The,1380.512,1380.529563,1380.529563,-0.01756300000010924,ok
435,The,1382.302,1382.327875,1382.327875,-0.025875000000041837,ok
436,The,1384.601,1384.629125,1384.629125,-0.0281249999998181,ok
437,that,1387.791,1387.542813,1387.542813,0.24818699999991622,ok
438,That,1391.122,1391.142562,1391.142562,-0.02056199999992714,ok
439,They,1392.931,1392.94775,1392.94775,-0.01675000000000182,ok
440,They,1395.543,1395.575687,1395.575687,-0.03268700000012359,ok
