segment_display_order,segment_text,segment_duration_sec,word,onset_error_sec,severity_ratio,fa_confidence_score,scorer_margin_sec,is_it_scorer_artifact,is_known_legacy_defect_segment
131,It keeps you from drifting.,2.94,It,-0.6833750000000123,0.2324,0.9992,0.2103,False,True
56,You drop the torch on the third night of your second season carrying it.,4.05,it.,-0.8811880000000087,0.2176,0.9996,0.0104,True,False
119,You are not yet calm about it.,2.34,You,0.5063119999999799,0.2164,0.9747,1.1185,False,False
95,Your job is to read the ground before everyone else walks onto it.,3.8,it.,-0.8125,0.2138,0.9996,0.0095,True,False
119,You are not yet calm about it.,2.34,it.,-0.49131199999999353,0.21,0.9959,0.0173,True,False
1,You are seven years old.,5.64,You,1.0040629999999997,0.178,0.9984,2.695,False,False
296,The rotations were right.,2.67,The,-0.44518799999991643,0.1667,0.9983,0.1675,False,True
70,You do not drop a torch again.,2.07,You,0.33781300000001124,0.1632,0.9433,0.7579,False,False
169,He finds you at your post afterward.,2.64,He,0.4073750000000018,0.1543,0.9998,0.9376,False,False
77,When the lead hunter slows,2.65,When,0.39587499999998954,0.1494,0.997,0.8061,False,True
36,Certain men always face outward.,3,Certain,0.44243799999999567,0.1475,0.9963,1.1513,False,False
228,They are not yours in any formal sense.,3.03,They,0.4331249999999045,0.1429,0.9997,0.9234,False,False
117,A scout who imagines too much does the same.,2.59,A,0.327686999999969,0.1265,0.9983,0.6906,False,True
30,You start watching the older hunters differently.,2.91,You,0.3628130000000027,0.1247,0.986,1.183,False,False
224,You are thirty-three.,2.98,You,0.3688129999999319,0.1238,0.9859,1.4868,False,False
351,or a reliable river crossing.,2.78,or,0.3417500000000473,0.1229,0.931,0.7968,False,False
233,When you speak at the fire before a hard night,2.85,When,0.34568799999999555,0.1213,0.996,1.0369,False,False
398,and why you did not let that weight take the work from you.,3.38,and,0.40637500000002547,0.1202,0.9246,0.7884,False,False
181,Your group drives a small aurochs herd toward a valley narrowing,3.91,Your,0.4683749999999236,0.1198,0.9996,0.9867,False,False
257,that wordless confirmation that your nose had caught something real.,4.04,that,0.4808749999999691,0.119,0.9468,0.8156,False,False
260,You try to build that same room for Fen.,2.86,You,0.3365000000000009,0.1177,0.9983,1.1344,False,False
418,Eyes moving in a slow sweep rather than fixed on one point.,4.55,Eyes,0.5218119999999544,0.1147,0.9985,1.0794,False,False
246,Then one evening before a run you tell him plainly,3.03,Then,0.3252499999999827,0.1073,0.9197,0.7236,False,False
400,You tell them the dark cannot be finished.,2.87,You,0.3063130000000456,0.1067,0.9611,1.1433,False,False
69,You are expected to understand that on your own.,2.82,You,0.2814380000000085,0.0998,0.9993,0.9161,False,False
86,Not the heavy thrusting spear of the senior hunters.,3.14,Not,0.28831199999996215,0.0918,0.8776,0.7756,False,False
159,The whole camp stands up and it takes several minutes to settle.,3.61,The,0.32456200000001445,0.0899,0.9997,0.7658,False,False
42,You are eleven.,3.79,You,0.3302499999999924,0.0871,0.9779,1.6179,False,False
420,You watch her for a long time without making a sound.,3.67,You,0.31349999999997635,0.0854,0.9983,0.7313,False,False
301,Accepting that without it hollowing out your readiness is harder than any technique you have ever learned.,6.27,Accepting,0.5305000000000746,0.0846,0.826,1.5668,False,False
214,You only know you are at the fire because whatever it was let you leave.,4.47,You,0.33818699999994806,0.0757,0.9985,1.0546,False,False
203,You walk backward out of the forest with your spear forward and your free hand trailing behind you to feel for the tree line.,7.03,You,0.509499999999889,0.0725,0.9609,1.1896,False,False
397,You describe the child you could not save and what you did in the weeks after,4.82,You,0.3428129999999783,0.0711,0.9984,1.2479,False,False
304,You add a post that covers the gap the night found.,4.195,You,0.2906869999999344,0.0693,0.9935,0.8912,False,False
268,That reaches you one morning when a girl of about nine walks to you at the fire’s edge,5.15,That,0.33037500000000364,0.0642,0.9616,1.1106,False,False
442,They will carry a torch in both hands and guard it with their body against the wind.,5.2,They,0.3212499999999636,0.0618,0.9998,1.0318,False,False
390,You sit at the center fire on long winter nights when the band is settled deep in the valley and the cold has pulled everything close.,7.56,You,0.35799999999994725,0.0474,0.9386,1.4756,False,False
423,She is doing the thing that cannot be scratched into bone or pressed into clay or passed through any medium other than one watching body alongside another watching body,10.8,She,0.2786869999999908,0.0258,0.9696,0.8744,False,False
