startSec,endSec
581.88,582.56
583.24,583.98
585.22,586.5
587.42,588.18
588.94,590.14
593.1,593.6
595.26,596.4
599.14,599.42
602.14,603.58
604.78,605.04
605.94,606.42
607.48,607.88
608.46,609.08
610.94,611.66
613.84,614.5
615.54,616.34
618.9,619.72
623.22,623.94
626.36,627.18
628.86,629.16
629.58,630.62
634.06,634.94
637.8,638.96
640.84,641.62
642.72,643.32
643.9,644.3
645.54,646.9
650.24,651.0
652.62,653.02
654.18,654.72
658.84,659.82
662.16,662.94
663.66,665.0
665.76,666.4
667.3,667.64
668.7,669.4
670.86,671.5
675.1,676.0
678.26,678.9
680.48,681.5
682.42,683.06
683.74,684.44
685.04,685.54
685.98,687.1
689.14,689.64
692.26,693.52
694.78,695.12
696.56,697.54
701.0,701.58
703.2,703.82
705.06,705.66
706.54,707.84
708.74,709.16
709.74,710.48
711.5,711.76
714.14,714.76
716.14,716.56
719.5,720.32
721.62,722.24
724.78,725.14
727.28,728.18
730.28,731.76
734.46,734.86
735.76,736.06
737.72,738.44
739.66,740.38
741.02,741.86
742.52,743.74
746.76,748.0
750.7,751.5
754.56,755.72
757.06,757.46
759.3,759.76
763.14,763.5
765.26,766.46
768.4,769.04
770.18,771.02
773.0,773.5
775.48,775.88
778.48,779.96
780.7,781.2
785.18,785.98
786.86,787.3
788.04,789.46
790.06,790.6
791.98,792.38
793.46,794.92
798.76,799.38
802.84,803.92
808.34,808.72
812.62,812.88
815.92,816.18
817.5,818.42
820.06,820.56
822.32,822.92
825.16,826.52
830.02,830.92
832.6,833.6
836.42,836.68
837.74,838.42
839.62,840.34
842.02,842.52
843.12,843.88
844.7,844.96
848.16,848.52
851.3,852.34
854.04,854.68
856.22,856.86
858.96,859.44
862.46,862.92
864.22,864.66
865.26,865.52
868.56,868.82
872.36,873.36
875.18,875.7
877.18,878.02
880.6,881.4
882.86,883.56
885.72,886.5
887.22,887.66
888.18,888.56
889.76,890.46
892.46,893.16
894.54,895.48
896.32,896.74
897.38,897.76
900.64,901.12
904.5,905.8
908.32,908.78
911.06,911.78
913.98,915.04
915.64,916.5
918.8,919.56
920.98,921.64
923.5,923.86
924.7,926.16
926.76,927.18
930.7,932.1
936.06,936.44
939.82,940.36
942.88,943.3
945.42,945.72
950.16,951.64
954.04,954.84
956.82,957.46
958.68,959.32
961.06,962.0
964.18,964.72
967.14,967.46
968.94,969.66
971.46,972.36
973.76,974.76
975.4,975.66
979.8,980.54
984.5,984.88
986.64,987.12
988.34,989.26
990.26,990.6
992.92,993.28
994.58,995.72
996.3,996.66
997.78,998.52
999.96,1000.32
1002.0,1002.48
1004.66,1005.82
1007.86,1008.2
1011.16,1012.34
1014.24,1014.96
1015.52,1016.32
1017.46,1018.18
1020.16,1021.14
1024.26,1025.36
1026.14,1026.86
1028.12,1029.04
1031.08,1032.06
1035.06,1035.56
1039.14,1039.82
1041.08,1042.04
1044.62,1046.62
1047.18,1047.96
1049.56,1050.18
1051.2,1052.1
1054.0,1054.74
1056.06,1056.78
1060.68,1061.32
1063.74,1064.64
1068.26,1068.84
1072.68,1073.6
1077.3,1078.18
1079.3,1080.12
1082.44,1083.54
1085.14,1086.02
1087.62,1089.1
1090.38,1090.68
1091.96,1092.34
1094.84,1095.5
1096.28,1096.94
1100.7,1101.42
1103.04,1103.94
1105.7,1107.06
1111.14,1111.62
1112.18,1112.52
1116.72,1117.44
1118.18,1118.88
1120.9,1121.72
1124.0,1124.9
1128.68,1129.04
1130.3,1131.22
1132.66,1133.08
1134.06,1134.7
1137.04,1137.82
1139.44,1139.96
1141.42,1141.84
1143.5,1144.7
1146.48,1147.0
1148.98,1149.4
1150.18,1151.62
1153.26,1154.12
1154.46,1155.34
1155.96,1156.48
1157.5,1158.36
1162.08,1162.9
1164.28,1165.56
1167.56,1168.18
1170.56,1171.06
1172.32,1172.74
1174.02,1175.44
1179.8,1180.8
1182.48,1183.14
1185.12,1185.6
1187.52,1187.78
1188.14,1189.96
1190.56,1191.06
1193.38,1194.16
1195.98,1196.64
1197.62,1198.02
1201.88,1203.04
1204.8,1206.22
1209.04,1209.4
1210.98,1211.82
1214.54,1215.4
1216.2,1216.64
1217.82,1219.32
1223.5,1223.88
1225.74,1226.52
1227.84,1229.02
1232.6,1232.94
1235.2,1235.82
1237.68,1238.48
1239.5,1240.98
1243.38,1243.9
1244.58,1245.78
1248.3,1248.68
1250.44,1251.68
1253.5,1253.94
1255.52,1256.24
1258.92,1259.6
1263.62,1263.9
1266.16,1267.34
1269.32,1269.92
1271.26,1271.66
1273.2,1273.92
1277.32,1277.6
1278.72,1280.2
1282.14,1282.4
1284.86,1285.44
1290.24,1290.72
1293.94,1294.64
1296.2,1296.64
1299.88,1301.26
1301.86,1302.16
1303.02,1304.34
1309.24,1309.58
1311.42,1312.88
1314.08,1314.46
1315.54,1315.86
1318.56,1318.94
1319.78,1320.88
1321.52,1321.9
1322.66,1323.56
1324.24,1325.16
1326.74,1327.24
1328.84,1329.66
1331.56,1332.24
1335.24,1335.9
1337.48,1338.06
1339.88,1340.72
1343.44,1343.92
1344.96,1345.34
1350.82,1351.38
1354.6,1355.88
1357.72,1358.24
1359.86,1361.08
1363.98,1364.4
1366.18,1366.8
1370.02,1371.5
1374.58,1375.6
1376.96,1377.64
1379.66,1380.52
1381.78,1382.34
1382.88,1383.14
1383.9,1384.62
1385.46,1385.76
1387.2,1387.82
1390.26,1391.14
1392.16,1392.94
1394.78,1395.58
1397.24,1398.16
1401.6,1401.86
1403.22,1403.9
1403.92,1404.24
1408.4,1409.12
1410.42,1410.74
1412.1,1413.04
1413.8,1414.68
1415.34,1416.46
1416.94,1417.3
1418.14,1418.88
1420.42,1421.28
