idx,text,startSec,endSec
289,ac,108.94,109.04
290,an,109.04,109.14
291,reg,109.14,109.32
292,iments,109.32,109.62
293,work,109.62,109.85
294,in,109.85,109.93
295,that,109.93,110.15
296,environment,110.15,110.76
297,because,110.76,111.17
298,they,111.17,111.41
299,grew,111.41,111.66
300,up,111.66,111.74
301,treating,111.74,112.21
302,survival,112.21,112.72
303,as,112.72,112.97
304,a,112.97,113.16
305,practical,113.16,113.8
306,discipline,113.8,114.72
307,rather,114.72,115.17
308,than,115.17,115.47
309,an,115.47,115.62
310,expected,115.62,116.3
311,outcome,116.3,116.74
312,For,116.98,117.2
313,everyone,117.2,117.81
314,else,117.81,118.11
315,the,118.35,118.55
316,mission,118.55,119.18
317,doesn,119.18,119.63
318,'t,119.63,119.86
319,fail,119.86,120.21
320,on,120.21,120.35
321,Cat,120.35,120.62
322,ac,120.62,120.8
323,an,120.8,121.26
324,The,121.6,121.76
325,jungle,121.76,121.9
326,absorbs,121.9,122.4
327,it,122.4,122.54
328,and,122.54,122.75
329,moves,122.75,123.11
330,on,123.11,123.3
331,Number,123.94,124.1
332,five,124.1,124.36
333,space,124.53,124.96
334,h,124.96,125.04
335,ul,125.04,125.31
336,ks,125.31,125.38
337,A,126.21,126.3
338,space,126.3,126.65
339,h,126.65,126.68
340,ulk,126.68,126.87
341,is,126.87,127.02
342,centuries,127.02,127.7
343,of,127.7,127.85
344,accumulated,127.85,128.77
345,ships,128.77,129.05
346,stations,129.37,129.8
347,and,129.94,130.5
348,debris,130.5,130.74
349,f,130.86,130.97
350,used,130.97,131.31
351,by,131.31,131.48
352,warp,131.48,131.85
353,transit,131.85,132.48
354,into,132.48,132.84
355,a,132.84,132.93
356,structure,132.93,133.74
357,too,133.74,134.01
358,massive,134.01,134.68
359,to,134.68,134.82
360,ignore,134.82,135.49
361,and,135.49,135.58
362,too,135.58,135.78
363,unstable,135.78,136.37
364,for,136.37,136.71
365,any,136.71,136.73
366,chart,136.73,137.07
367,to,137.07,137.2
368,stay,137.2,137.64
369,current,137.64,137.95
370,on,137.95,138.08
371,Board,138.74,138.9
372,ing,138.9,138.95
373,one,138.95,139.28
374,isn,139.28,139.39
375,'t,139.39,139.52
376,a,139.52,139.6
377,tactical,139.6,140.19
378,challenge,140.19,140.85
379,a,141.54,141.71
380,structural,141.71,142.08
381,imposs,142.08,142.48
382,ibility,142.48,142.94
383,that,142.94,143.24
384,command,143.24,143.66
385,has,143.66,143.86
386,decided,143.86,144.32
387,cannot,144.32,144.77
388,be,144.77,144.85
389,avoided,144.85,145.31
390,The,145.74,145.77
391,corridors,145.77,146.35
392,weren,146.35,146.68
393,'t,146.68,146.95
394,built,146.95,147.13
395,They,147.84,147.88
396,'re,147.88,148.0
397,the,148.0,148.11
398,overlapping,148.11,148.95
399,inter,148.95,149.33
400,iors,149.33,149.63
401,of,149.63,149.78
402,vessels,149.78,150.47
403,that,150.47,150.61
404,were,150.61,151.07
405,never,151.07,151.29
406,designed,151.29,152.05
407,to,152.05,152.22
408,share,152.22,152.44
409,a,152.44,152.5
410,wall,152.5,152.86
411,smashed,152.95,153.49
412,into,153.49,153.78
413,adjac,153.78,154.16
414,ency,154.16,154.46
415,by,154.46,154.61
416,warp,154.61,154.91
417,physics,154.91,155.44
418,ors,156.36,156.52
419,become,156.52,156.73
420,ce,156.73,156.9
421,il,156.9,157.03
422,ings,157.03,157.32
423,two,157.32,157.57
424,jun,157.57,157.8
425,ctions,157.8,158.29
426,in,158.29,158.42
427,Gravity,159.2,159.36
428,plates,159.36,159.74
429,from,159.74,159.97
430,different,159.97,160.66
431,ships,160.66,161.03
432,pull,161.03,161.33
433,in,161.33,161.48
434,competing,161.48,162.15
435,directions,162.15,162.89
436,in,162.89,163.05
437,rooms,163.05,163.57
438,separated,163.57,164.22
439,by,164.22,164.24
440,a,164.24,164.31
441,single,164.31,164.76
442,bulk,164.76,165.06
443,head,165.06,165.41
444,ions,166.18,166.34
445,press,166.34,166.51
446,ur,166.51,166.72
447,ize,166.72,166.84
448,and,166.84,167.04
449,vent,167.04,167.3
450,without,167.3,167.76
451,warning,167.76,168.22
452,when,168.22,168.48
453,something,168.48,169.08
454,fails,169.08,169.41
455,The,169.84,169.91
456,atmosphere,169.91,170.68
457,where,170.83,171.21
458,it,171.21,171.38
459,exists,171.38,171.82
460,at,171.82,171.97
461,all,171.97,172.31
462,is,172.35,172.56
463,a,172.56,172.57
464,chemical,172.57,173.18
465,residue,173.18,173.87
466,of,173.87,174.06
467,whatever,174.06,174.51
468,the,174.51,174.71
469,last,174.71,175.02
470,crew,175.02,175.33
471,left,175.33,175.64
472,behind,175.64,176.1
473,which,176.28,176.63
474,includes,176.63,177.24
475,whatever,177.24,177.85
476,finished,177.85,178.46
477,them,178.46,179.03
478,Gen,179.56,179.68
479,este,179.68,179.72
480,el,179.72,179.83
481,ers,179.83,180.1
482,are,180.1,180.29
483,adapted,180.29,180.93
484,to,180.93,180.99
485,this,180.99,181.3
486,geometry,181.3,181.92
487,in,181.92,182.19
488,ways,182.19,182.38
489,that,182.38,182.79
490,standard,182.79,183.31
491,assault,183.31,183.94
492,doctrine,183.94,184.58
493,isn,184.58,184.71
494,'t,184.71,184.88
495,They,185.52,185.55
496,don,185.55,185.65
497,'t,185.65,185.68
498,need,185.68,185.85
499,consistent,185.85,186.35
500,gravity,186.35,186.7
501,move,187.48,187.64
502,through,187.64,187.8
503,ventilation,187.8,188.5
504,shaft,188.5,188.85
505,s,188.85,188.87
506,with,188.87,189.18
507,the,189.18,189.31
508,velocity,189.31,189.82
509,of,189.82,189.93
510,a,189.93,190.11
511,launched,190.11,190.51
512,round,190.51,190.82
513,and,190.82,191.01
514,the,191.01,191.2
515,acoustic,191.2,191.86
516,signature,191.86,192.31
517,of,192.31,192.46
518,a,192.46,192.5
519,maintenance,192.5,193.16
520,fault,193.16,193.47
521,Squad,194.12,194.32
522,formations,194.32,195.04
523,built,195.04,195.41
524,around,195.41,195.89
525,structured,195.89,196.59
526,corridors,196.59,197.24
527,collapse,197.24,197.81
528,because,197.81,198.35
529,line,198.35,198.62
530,of,198.62,198.79
531,sight,198.79,199.12
532,inside,199.12,199.56
533,a,199.56,199.63
534,h,199.63,199.7
535,ulk,199.7,199.92
536,rarely,199.92,200.36
537,extends,200.36,200.87
538,six,200.87,201.09
539,meters,201.09,201.6
540,fl,202.14,202.21
541,anking,202.21,202.3
542,acqu,202.3,202.43
543,ires,202.43,202.68
544,a,202.68,202.69
545,third,202.69,202.96
546,dimension,202.96,203.51
547,when,203.51,203.67
548,the,203.67,203.84
549,threat,203.84,204.16
550,can,204.16,204.32
551,arrive,204.32,204.77
552,from,204.77,204.87
553,overhead,204.87,205.37
554,or,205.37,205.42
555,through,205.42,205.8
556,the,205.8,205.96
557,wall,205.96,206.5
558,itself,206.5,206.53
559,Term,207.22,207.38
560,inator,207.38,207.47
561,armor,207.47,207.84
562,was,207.84,208.06
563,developed,208.06,208.73
564,for,208.73,208.95
565,this,208.95,209.24
566,specific,209.24,209.85
567,operational,209.85,210.65
568,context,210.65,211.16
569,still,211.92,212.08
570,doesn,212.08,212.23
571,'t,212.23,212.46
572,make,212.46,212.63
573,the,212.63,212.81
574,casual,212.81,213.29
575,ty,213.29,213.33
576,rates,213.33,213.66
577,acceptable,213.66,214.32
578,makes,215.12,215.27
579,them,215.27,215.29
580,surviv,215.29,215.69
581,able,215.69,215.96
582,for,215.96,216.19
583,a,216.19,216.22
584,fraction,216.22,216.82
585,of,216.82,216.89
586,the,216.89,217.09
587,boarding,217.09,217.75
588,party,217.75,218.0
589,'s,218.66,218.8
590,the,218.8,218.82
591,best,218.82,219.07
592,available,219.07,219.74
593,outcome,219.74,220.14
594,and,220.36,220.47
595,everyone,220.47,221.0
596,going,221.0,221.33
597,and,221.33,221.54
598,knows,221.54,221.89
599,it,221.89,221.99
600,Number,222.26,222.8
601,four,222.8,223.14
602,V,223.33,223.39
603,RA,223.39,223.63
604,X,223.63,223.68
605,Sev,224.12,224.15
606,enteen,224.15,224.54
607,years,224.54,224.86
608,That,225.52,225.68
609,number,225.68,225.73
610,starts,225.73,226.12
611,making,226.12,226.5
612,sense,226.5,226.89
613,once,226.89,227.1
614,you,227.1,227.29
615,understand,227.29,227.95
616,what,227.95,228.21
617,the,228.21,228.4
618,terrain,228.4,228.86
619,did,228.86,229.05
620,to,229.05,229.18
621,every,229.18,229.88
622,assault,229.88,229.97
623,the,229.97,230.16
624,Imper,230.16,230.54
625,ium,230.54,230.68
626,attempted,230.68,231.27
627,X,232.1,232.14
628,was,232.14,232.26
629,an,232.26,232.3
630,arm,232.3,232.64
631,ory,232.64,232.78
632,world,232.78,233.18
633,built,233.18,233.58
634,for,233.58,233.82
635,storage,233.82,234.38
636,and,234.38,234.73
637,protection,234.73,235.43
638,rather,235.43,235.9
639,than,235.9,236.47
640,hab,236.47,236.49
641,itation,236.49,237.12
642,ick,237.9,238.0
643,rock,238.0,238.05
644,c,238.05,238.07
645,rete,238.07,238.44
646,everywhere,238.44,239.1
647,Deep,239.96,240.1
648,vault,240.1,240.12
649,s,240.12,240.18
650,below,240.18,240.59
651,it,240.59,240.73
652,Def,241.4,241.56
653,ensive,241.56,241.62
654,lines,241.62,241.95
655,pred,241.95,242.22
656,ating,242.22,242.55
657,the,242.55,242.77
658,siege,242.77,243.1
659,by,243.1,243.21
660,centuries,243.21,243.81
661,constructed,243.81,244.61
662,specifically,244.61,245.34
663,to,245.34,245.76
664,resist,245.76,245.88
665,the,245.88,246.08
666,type,246.08,246.42
667,of,246.42,246.48
668,assault,246.48,246.95
669,being,246.95,247.28
670,attempted,247.28,247.88
671,against,247.88,248.35
672,them,248.35,248.69
673,The,249.08,249.12
674,attacking,249.12,249.74
675,forces,249.74,250.29
676,had,250.29,250.35
677,to,250.35,250.48
678,advance,250.48,250.96
679,into,250.96,251.23
680,ground,251.23,251.64
681,that,251.64,251.91
682,had,251.91,252.15
683,been,252.15,252.38
684,engineered,252.38,253.29
685,decades,253.29,253.54
686,before,253.54,253.95
687,they,253.95,254.24
688,arrived,254.24,254.7
689,to,254.7,254.83
690,stop,254.83,255.13
691,exactly,255.13,255.58
692,them,255.58,255.85
693,ren,256.54,256.7
694,ches,256.7,256.77
695,funnel,256.77,257.24
696,movement,257.24,257.91
697,and,257.91,258.09
698,eliminate,258.09,258.79
699,fl,258.79,258.94
700,anking,258.94,259.42
701,at,259.42,259.55
702,the,259.55,259.78
703,squad,259.78,260.17
704,level,260.17,260.86
705,The,261.02,261.06
706,chaos,261.06,261.4
707,al,261.45,261.57
708,igned,261.57,261.94
709,defenders,261.94,262.56
710,added,262.56,262.84
711,persistent,262.84,263.51
712,acidic,263.51,264.09
713,chemical,264.09,264.45
714,compounds,264.45,265.18
715,to,265.18,265.25
716,that,265.25,265.46
717,problem,265.46,265.92
718,ents,266.74,266.9
719,that,266.9,267.05
720,pool,267.05,267.39
721,ed,267.39,267.56
722,in,267.56,267.72
723,low,267.72,268.11
724,ground,268.11,268.49
725,degrad,268.49,269.0
726,ed,269.0,269.17
727,respir,269.17,269.68
728,ator,269.68,270.02
729,seals,270.02,270.42
730,over,270.42,271.11
731,extended,271.11,271.46
732,exposure,271.46,272.2
733,and,272.2,272.39
734,corrupted,272.39,272.96
735,the,272.96,273.15
736,soil,273.15,273.4
737,chemistry,273.4,274.03
738,across,274.03,274.35
739,entire,274.35,274.81
740,operating,274.81,275.28
741,sectors,275.28,275.98
742,Ground,276.14,276.52
743,that,276.52,276.69
744,should,276.69,277.12
745,have,277.12,277.4
746,been,277.4,277.68
747,travers,277.68,278.18
748,able,278.18,278.61
749,became,278.61,278.89
750,toxic,278.89,279.24
751,inside,279.24,279.67
752,two,279.67,279.87
753,weeks,279.87,280.35
754,of,280.35,280.37
755,sustained,280.37,281.01
756,fighting,281.01,281.63
757,Sold,282.36,282.48
758,iers,282.48,282.52
759,who,282.52,282.71
760,crossed,282.71,283.25
761,contaminated,283.25,284.18
762,sections,284.18,284.79
763,arrived,284.79,285.34
764,at,285.34,285.59
765,their,285.59,285.88
766,objectives,285.88,286.74
767,already,286.74,287.2
768,in,287.2,287.38
769,physiological,287.38,288.36
770,decline,288.36,288.9
771,before,288.9,289.35
772,any,289.35,289.65
773,contact,289.65,290.13
774,occurred,290.13,290.75
775,After,291.26,291.45
776,seventeen,291.45,292.06
777,years,292.06,292.47
778,of,292.47,292.57
779,that,292.57,292.85
780,the,293.03,293.2
781,battlefield,293.2,293.98
782,substrate,293.98,294.6
783,changed,294.6,295.06
784,The,295.74,295.83
785,soil,295.83,295.9
786,ch,295.9,295.97
787,urn,295.97,296.28
788,ed,296.28,296.32
789,Cont,296.96,296.99
790,am,296.99,297.12
791,inated,297.12,297.5
792,zones,297.5,297.78
793,developed,297.78,298.43
794,biological,298.43,299.16
795,properties,299.16,299.89
796,that,299.89,300.19
797,had,300.19,300.39
798,no,300.39,300.53
799,business,300.53,301.32
800,being,301.32,301.56
801,there,301.56,301.83
802,In,302.12,302.28
803,the,302.28,302.44
804,worst,302.44,302.77
805,sectors,302.77,303.23
806,the,303.49,303.55
807,distinction,303.55,304.27
808,between,304.27,304.75
809,a,304.75,304.79
810,mine,304.79,305.05
811,field,305.05,305.37
812,and,305.37,305.56
813,clear,305.56,305.89
814,ground,305.89,306.49
815,stopped,306.49,306.74
816,mat,306.74,306.95
817,uring,306.95,307.25
818,operation,307.25,307.84
819,ally,307.84,308.33
820,because,308.33,308.58
821,the,308.58,308.74
822,outcomes,308.74,309.18
823,were,309.18,309.41
824,roughly,309.41,309.78
825,comparable,309.78,310.33
826,either,310.33,310.66
827,way,310.66,310.82
828,Four,311.52,311.68
829,teen,311.68,311.72
830,million,311.72,312.32
831,C,312.32,312.4
832,ree,312.4,312.66
833,guards,312.66,313.22
834,men,313.22,313.45
835,died,313.45,313.78
836,at,313.78,313.95
837,V,313.95,314.15
838,RA,314.15,314.2
839,X,314.2,314.28
840,The,314.95,314.97
841,environment,314.97,315.61
842,wasn,315.61,315.87
843,'t,315.87,315.95
844,incident,315.95,316.5
845,al,316.5,316.52
846,to,316.52,316.63
847,that,316.63,316.86
848,number,316.86,317.2
849,It,317.42,317.58
850,was,317.58,317.79
851,built,317.79,318.16
852,into,318.16,318.49
853,the,318.49,318.79
854,calculation,318.79,319.49
855,from,319.49,319.78
856,the,319.78,320.05
857,start,320.05,320.37
858,Number,321.14,321.31
859,three,321.31,321.69
860,Ne,321.88,322.07
861,c,322.07,322.15
862,ron,322.15,322.51
863,Tomb,322.51,322.84
864,Complex,322.84,323.49
865,es,323.49,323.72
866,c,324.12,324.27
867,ron,324.27,324.28
868,Tomb,324.28,324.66
869,world,324.66,325.0
870,has,325.0,325.24
871,been,325.24,325.56
872,a,325.56,325.64
873,trap,325.64,325.96
874,for,325.96,326.2
875,several,326.2,326.77
876,million,326.77,327.35
877,years,327.35,327.74
878,The,328.56,328.72
879,exterior,328.72,328.84
880,looks,328.84,329.2
881,like,329.2,329.48
882,a,329.48,329.64
883,planet,329.64,329.98
884,'s,330.78,330.93
885,where,330.93,330.96
886,the,330.96,331.16
887,familiar,331.16,331.71
888,part,331.71,331.98
889,ends,331.98,332.25
890,Tomb,333.06,333.22
891,complexes,333.22,333.38
892,extend,333.38,333.77
893,kilometers,333.77,334.46
894,below,334.46,334.8
895,the,334.8,335.0
896,surface,335.0,335.47
897,through,335.47,335.94
898,dimension,335.94,336.55
899,ally,336.55,336.82
900,compressed,336.82,337.5
901,architecture,337.5,338.38
902,Ro,339.41,339.46
903,oms,339.46,339.58
904,that,339.58,339.84
905,register,339.84,340.26
906,on,340.26,340.37
907,Aus,340.37,340.67
908,pex,340.67,340.72
909,scans,340.72,341.01
910,as,341.01,341.12
911,physically,341.12,341.7
912,larger,341.7,342.04
913,than,342.04,342.27
914,the,342.27,342.53
915,ge,342.53,342.55
916,ological,342.55,343.0
917,formation,343.0,343.67
918,around,343.67,343.9
919,them,343.9,344.13
920,should,344.13,344.44
921,permit,344.44,344.78
922,Whether,345.06,345.6
923,that,345.6,345.89
924,'s,345.89,346.04
925,a,346.04,346.14
926,sensor,346.14,346.56
927,artifact,346.56,347.16
928,or,347.16,347.31
929,accurate,347.31,347.94
930,data,347.94,348.29
931,is,348.29,348.36
932,not,348.36,348.58
933,a,348.58,348.65
934,question,348.65,349.44
935,anyone,349.44,349.7
936,fighting,349.7,350.38
937,inside,350.38,350.75
938,has,350.75,350.97
939,time,350.97,351.27
940,to,351.27,351.42
941,settle,351.42,351.87
942,The,352.72,352.88
943,defenders,352.88,353.08
944,re,353.08,353.26
945,assemble,353.26,353.8
946,after,353.8,354.16
947,being,354.16,354.52
948,destroyed,354.52,355.35
949,That,355.98,356.14
950,single,356.14,356.17
951,feature,356.17,356.69
952,separates,356.69,357.38
953,this,357.38,357.68
954,from,357.68,357.98
955,every,357.98,358.36
956,other,358.36,358.74
957,hostile,358.74,359.27
958,environment,359.27,360.26
959,on,360.26,360.36
960,this,360.36,360.58
961,list,360.58,360.86
962,A,361.58,361.61
963,fire,361.61,361.74
964,lane,361.74,361.97
965,is,361.97,362.15
966,cleared,362.15,362.79
967,Warriors,363.58,363.77
968,go,363.77,363.93
969,down,363.93,364.26
970,Twenty,364.96,365.13
971,minutes,365.13,365.5
972,later,365.5,365.85
973,they,365.85,366.14
974,'ve,366.14,366.36
975,partially,366.36,367.02
976,rebuilt,367.02,367.59
977,and,367.59,367.75
978,res,367.75,367.97
979,umed,367.97,368.26
980,patrol,368.26,368.7
981,Progress,369.46,369.84
982,measured,369.84,370.31
983,in,370.31,370.44
984,confirmed,370.44,371.01
985,elimination,371.01,371.71
986,stops,371.71,372.02
987,being,372.02,372.33
988,meaningful,372.33,372.96
989,The,373.76,373.92
990,structure,373.92,373.97
991,itself,373.97,374.36
992,continuously,374.36,375.14
993,recon,375.14,375.46
994,fig,375.46,375.69
995,ures,375.69,375.91
996,around,375.91,376.39
997,the,376.39,376.49
998,intr,376.49,376.75
999,usion,376.75,377.07
1000,sealing,377.26,378.13
1001,corridors,378.13,378.52
1002,shifting,378.74,379.29
1003,gravity,379.29,379.82
1004,orient,379.82,380.27
1005,ations,380.27,380.72
1006,cycling,381.48,381.64
1007,through,381.64,381.9
1008,defensive,381.9,382.56
1009,responses,382.56,383.2
1010,the,383.2,383.41
1011,way,383.41,383.62
1012,a,383.62,383.69
1013,biological,383.69,384.41
1014,organism,384.41,384.99
1015,cycles,384.99,385.84
1016,through,385.84,385.92
1017,immune,385.92,386.31
1018,responses,386.31,386.93
1019,automatic,386.93,387.44
1020,tire,387.69,387.81
1021,less,387.81,388.07
1022,and,388.18,388.37
1023,scaling,388.37,388.81
1024,up,388.81,389.0
1025,The,389.52,389.6
1026,ast,389.6,389.68
1027,ral,389.68,389.81
1028,knights,389.81,390.32
1029,found,390.32,390.68
1030,this,390.68,390.97
1031,out,390.97,391.22
1032,aboard,391.22,391.61
1033,the,391.61,391.82
1034,world,391.82,392.18
1035,engine,392.18,392.75
1036,The,393.06,393.12
1037,only,393.12,393.44
1038,thing,393.44,393.77
1039,that,393.77,394.06
1040,worked,394.06,394.49
1041,was,394.49,394.71
1042,abandon,394.71,395.22
1043,ing,395.22,395.53
1044,the,395.53,395.65
1045,model,395.65,396.13
1046,of,396.13,396.15
1047,fighting,396.15,396.72
1048,through,396.72,397.27
1049,an,397.27,397.38
1050,enemy,397.38,397.74
1051,position,397.74,398.35
1052,entirely,398.35,399.02
1053,and,399.02,399.19
1054,treating,399.19,399.76
1055,the,399.76,399.97
1056,structure,399.97,400.61
1057,as,400.61,400.75
1058,a,400.75,400.82
1059,demol,400.82,401.21
1060,ition,401.21,401.52
1061,target,401.52,402.25
1062,instead,402.25,402.45
1063,The,403.32,403.48
1064,environment,403.48,403.63
1065,didn,403.63,403.89
1066,'t,403.89,404.02
1067,stop,404.02,404.26
1068,being,404.26,404.69
1069,hostile,404.69,405.07
1070,after,405.07,405.4
1071,that,405.4,405.66
1072,decision,405.66,406.2
1073,just,406.9,407.06
1074,became,407.06,407.3
1075,a,407.3,407.44
1076,problem,407.44,407.86
1077,with,407.86,408.25
1078,a,408.25,408.27
1079,physical,408.27,408.84
1080,solution,408.84,409.53
1081,rather,409.53,409.87
1082,than,409.87,410.16
1083,a,410.16,410.23
1084,tactical,410.23,410.77
1085,one,410.77,411.26
1086,Number,411.53,411.9
1087,two,411.9,412.14
